# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	3579
#@/user_id	75e113b6-15e1-4610-862b-e87c7177b302
chu chong 	除虫	c=1 d=0.970446 t=3579
chu lai 	出来	c=1 d=0.860708 t=3579
chu le 	除了	c=2 d=1.52712 t=3579
chu lian 	初恋	c=1 d=0.463013 t=3579
chu mo ban 	触摸板	c=1 d=0.869358 t=3579
chu qu 	出去	c=2 d=0.994203 t=3579
chu shi hua 	初始化	c=1 d=0.980199 t=3579
chuan 	穿	c=1 d=0.969792 t=3579
chuan bu liao 	穿不了	c=1 d=0.995012 t=3579
chuan shi jian 	穿时间	c=1 d=0.965605 t=3579
chuan zhe 	穿着	c=1 d=0.965605 t=3579
chuang jian 	创建	c=5 d=2.23521 t=3579
chuang kou 	窗口	c=3 d=2.24065 t=3579
chuang kou ou 	窗口欧	c=1 d=0.822835 t=3579
chuang shang 	床上	c=2 d=0.880282 t=3579
chun qiu 	春秋	c=1 d=0.932394 t=3579
ci 	此	c=1 d=0.946485 t=3579
ci ji 	刺激	c=1 d=0.99005 t=3579
cong 	从	c=5 d=1.34616 t=3579
cong na 	从那	c=1 d=1 t=3579
cun chu 	存储	c=1 d=0.937067 t=3579
cun zai 	存在	c=1 d=0.559898 t=3579
cuo 	错	c=5 d=2.73295 t=3579
da 	大	c=3 d=1.51506 t=3579
da 	打	c=3 d=0.793755 t=3579
da bao 	打包	c=1 d=0.744532 t=3579
da biao pan 	大表盘	c=1 d=0.918512 t=3579
da bu fen 	大部分	c=1 d=0.316637 t=3579
da bu liao 	大不了	c=1 d=0.562705 t=3579
da dian hua 	打电话	c=3 d=2.66365 t=3579
da duo 	大多	c=0 d=0.033454 t=3579
da gai lv 	大概率	c=1 d=0.794534 t=3579
da ge 	大哥	c=1 d=0.67032 t=3579
da guo lai 	打过来	c=1 d=0.995012 t=3579
da kai 	打开	c=3 d=1.99736 t=3579
da lao 	大佬	c=1 d=0.722527 t=3579
da liang 	大量	c=1 d=0.759572 t=3579
da qiu 	打球	c=1 d=0.97531 t=3579
da wan 	打完	c=0 d=0.0650509 t=3579
da xiang mu 	大项目	c=1 d=0.856415 t=3579
da yi duan zi 	打一段子	c=1 d=0.965605 t=3579
da zi 	打字	c=1 d=0.891366 t=3579
dai 	带	c=1 d=0.806541 t=3579
dai hui jia 	带回家	c=1 d=0.960789 t=3579
dai huo 	带货	c=1 d=0.392586 t=3579
dai ma 	代码	c=4 d=2.96921 t=3579
dan ci 	单词	c=1 d=0.955997 t=3579
dan shi 	但是	c=25 d=5.48468 t=3579
dang chu 	当初	c=4 d=0.718924 t=3579
dang qian 	当前	c=2 d=1.26605 t=3579
dang ran 	当然	c=1 d=0.554327 t=3579
dang shi 	当时	c=3 d=0.982521 t=3579
dao 	到	c=16 d=6.56853 t=3579
dao bao 	导包	c=2 d=1.32711 t=3579
dao chu 	到处	c=1 d=0.831104 t=3579
dao di 	到底	c=1 d=0.891366 t=3579
dao ru 	导入	c=4 d=2.67276 t=3579
dao xian zai 	到现在	c=1 d=0.822835 t=3579
dao zhi 	导致	c=1 d=0.562705 t=3579
de 	地	c=3 d=1.61509 t=3579
de 	的	c=183 d=19.9509 t=3579
de dao 	得到	c=1 d=0.524663 t=3579
dei 	得	c=6 d=2.91466 t=3579
dei yo 	得哟	c=1 d=1 t=3579
deng lu 	登录	c=1 d=0.609571 t=3579
deng xia 	等下	c=3 d=1.83683 t=3579
di 	地	c=2 d=0.846396 t=3579
di fang 	地方	c=3 d=1.86488 t=3579
di yi ci 	第一次	c=3 d=0.851043 t=3579
dian 	点	c=3 d=1.58113 t=3579
dian an 	点按	c=0 d=0.1 t=3517
dian an o 	点按哦	c=1 d=1 t=3518
dian nao 	电脑	c=1 d=1 t=3519
dian wai mai 	点外卖	c=2 d=1.69792 t=3579
dian yuan jian 	电源键	c=2 d=1.21563 t=3579
diao 	掉	c=3 d=1.69156 t=3579
diao yong 	调用	c=1 d=0.900325 t=3579
ding yi 	定义	c=2 d=0.729581 t=3579
dong 	动	c=2 d=1.57053 t=3579
dong xi 	东西	c=5 d=1.16528 t=3579
dou 	都	c=15 d=3.8235 t=3579
dou bu zhi dao 	都不知道	c=1 d=0.856415 t=3579
dou hao 	逗号	c=1 d=1 t=3579
dou hui 	都会	c=1 d=0.900325 t=3579
dou qu 	都去	c=1 d=0.748264 t=3579
dou shi 	都是	c=5 d=2.08054 t=3579
dou shi sha 	都是啥	c=2 d=0.97531 t=3579
dou shuo 	都说	c=1 d=0.923116 t=3579
dou xu yao 	都需要	c=1 d=0.965605 t=3579
dou yao 	都要	c=1 d=0.856415 t=3579
dou you 	都有	c=1 d=0.213312 t=3579
dou zai 	都在	c=1 d=0.319819 t=3579
du 	度	c=2 d=0.83527 t=3579
du qu 	读取	c=1 d=0.687289 t=3579
du yi xia 	读一下	c=1 d=0.970446 t=3579
duan lian 	断链	c=2 d=1.67536 t=3579
dui 	对	c=9 d=2.68922 t=3579
dui ba 	对吧	c=5 d=3.36828 t=3579
dui ma 	对吗	c=1 d=0.798516 t=3579
dun shi 	顿时	c=0 d=0.0690734 t=3579
duo 	多	c=3 d=1.68467 t=3579
duo da 	多大	c=1 d=0.465334 t=3579
duo ge 	多个	c=1 d=1 t=3554
duo she 	夺舍	c=1 d=0.737123 t=3579
duo yu 	多余	c=1 d=0.737123 t=3579
e du 	额度	c=1 d=0.946485 t=3579
ei 	欸	c=2 d=0.594593 t=3579
en 	嗯	c=1 d=0.965605 t=3579
en en 	嗯嗯	c=11 d=4.05526 t=3579
en ji 	嗯几	c=1 d=0.932394 t=3579
er 	而	c=3 d=1.28077 t=3579
er ci yuan 	二次元	c=1 d=0.909373 t=3579
er qie 	而且	c=3 d=1.93894 t=3579
fa 	发	c=2 d=1.80678 t=3579
fa chu lai 	发出来	c=1 d=0.995012 t=3579
fa gei wo 	发给我	c=1 d=0.99005 t=3579
fa li 	发力	c=1 d=0.255381 t=3579
fa sheng 	发生	c=1 d=0.99005 t=3579
fa xian 	发现	c=2 d=1.8113 t=3579
fa xing ban 	发行版	c=1 d=0.97531 t=3579
fa yang 	发扬	c=1 d=0.499074 t=3579
fa zhan 	发展	c=2 d=1.9216 t=3579
fan bu liao 	翻不了	c=0 d=0.0551563 t=3579
fan bu liao che 	翻不了车	c=1 d=0.554327 t=3579
fan che 	翻车	c=1 d=0.932394 t=3579
fan yi 	翻译	c=7 d=4.66496 t=3579
fan ying guo lai 	反应过来	c=1 d=0.501576 t=3579
fan zheng 	反正	c=2 d=1.1297 t=3579
fang 	放	c=2 d=1.46779 t=3579
fang dao 	放到	c=1 d=0.847894 t=3579
fang qi 	放弃	c=1 d=0.726149 t=3579
fang wen 	访问	c=1 d=0.479505 t=3579
fang zai 	放在	c=3 d=1.87187 t=3579
fang zi 	房子	c=1 d=0.67032 t=3579
fei hua 	废话	c=1 d=1 t=3579
fei yao 	非要	c=1 d=0.628135 t=3579
fen 	份	c=1 d=0.847894 t=3579
fen 	分	c=2 d=0.752348 t=3579
fen ge 	分割	c=1 d=1 t=3579
fen qu 	分区	c=3 d=0.836358 t=3579
fu dong 	浮动	c=3 d=2.33545 t=3579
fu he 	符合	c=1 d=0.965605 t=3579
fu le 	服了	c=3 d=1.81539 t=3579
fu za 	复杂	c=1 d=1 t=3579
fu zhi 	复制	c=2 d=1.58307 t=3579
gai 	改	c=4 d=2.39633 t=3579
gai 	该	c=4 d=2.73085 t=3579
gai cheng 	改成	c=4 d=1.67168 t=3579
gai guo 	改过	c=1 d=0.814647 t=3579
gai hui lai 	改回来	c=1 d=0.946485 t=3579
gai nian 	概念	c=1 d=0.763379 t=3579
gai xiang mu 	该项目	c=1 d=0.909373 t=3579
gan 	感	c=0 d=0.0715338 t=3579
gan jue 	感觉	c=4 d=1.68092 t=3579
gan leng 	干冷	c=1 d=0.308819 t=3579
gan sha 	干啥	c=1 d=0.535261 t=3579
gan shang 	赶上	c=1 d=0.180866 t=3579
gang 	刚	c=1 d=0.965605 t=3579
gang gang 	刚刚	c=1 d=0.467666 t=3579
gao 	搞	c=5 d=2.93242 t=3579
gao dao 	搞到	c=1 d=0.88692 t=3579
gao de 	高的	c=1 d=0.798516 t=3579
gao de wo 	搞得我	c=1 d=0.927743 t=3579
gao hao 	搞好	c=1 d=0.814647 t=3579
gao ji 	高级	c=2 d=0.509526 t=3579
gao su 	告诉	c=2 d=1.57405 t=3579
gao su ni 	告诉你	c=0 d=0.0904837 t=3579
gao su wo 	告诉我	c=1 d=0.97531 t=3579
gao xiao 	搞笑	c=1 d=0.715338 t=3579
gao zhe ge 	搞这个	c=1 d=0.951229 t=3579
ge 	个	c=13 d=4.14212 t=3579
ge ge 	各个	c=1 d=0.718924 t=3579
ge shi hua 	格式化	c=4 d=1.01706 t=3579
gei 	给	c=4 d=1.47589 t=3579
gei ni 	给你	c=2 d=1.48632 t=3579
gei wo 	给我	c=3 d=0.934708 t=3579
gei zhu bao 	给主包	c=1 d=0.937067 t=3579
gen ben 	根本	c=1 d=0.960789 t=3579
gen mu lu 	根目录	c=1 d=0.923116 t=3579
gen wen jian jia 	根文件夹	c=1 d=0.932394 t=3579
gen zhe 	跟着	c=2 d=0.568873 t=3579
geng duo 	更多	c=1 d=0.960789 t=3579
geng hao 	更好	c=1 d=0.484325 t=3579
gong chang 	工厂	c=1 d=0.810584 t=3579
gong gu 	巩固	c=0 d=0.0814647 t=3579
gong neng 	功能	c=1 d=0.847894 t=3579
gong yuan 	公园	c=1 d=0.995012 t=3579
gong zuo 	工作	c=2 d=1.68045 t=3579
gou ming 	狗命	c=0 d=0.099005 t=3579
gua 	瓜	c=2 d=1.88896 t=3579
gua zai 	挂载	c=1 d=0.704688 t=3579
guan ji 	关机	c=2 d=0.777794 t=3579
guan yu 	关于	c=2 d=1.70023 t=3579
guang 	光	c=1 d=0.316637 t=3579
guang biao 	光标	c=1 d=0.873716 t=3579
guang gao 	广告	c=1 d=0.932394 t=3579
gui 	贵	c=2 d=1.68945 t=3579
gui fan 	规范	c=1 d=0.965605 t=3579
gui le 	贵了	c=1 d=1.0593 t=3579
guo 	过	c=3 d=2.2284 t=3579
guo lai 	过来	c=1 d=0.46952 t=3579
guo qu 	过去	c=1 d=0.88692 t=3579
ha 	哈	c=3 d=2.20317 t=3579
ha ha 	哈哈	c=2 d=0.794534 t=3579
ha ha ha 	哈哈哈	c=12 d=5.53973 t=3579
hai 	害	c=1 d=0.729789 t=3579
hai 	还	c=12 d=3.24245 t=3579
hai bu cuo 	还不错	c=1 d=0.985112 t=3579
hai de 	害的	c=1 d=0.697676 t=3579
hai me 	还么	c=1 d=0.650509 t=3579
hai mei 	还没	c=2 d=1.05575 t=3579
hai mei da wan 	还没打完	c=1 d=0.65377 t=3579
hai mei you 	还没有	c=1 d=0.985112 t=3579
hai neng 	还能	c=3 d=1.76194 t=3579
hai shi 	还是	c=13 d=3.64526 t=3579
hai shi neng 	还是能	c=1 d=0.687289 t=3579
hai yao 	还要	c=2 d=0.762393 t=3579
hai you 	还有	c=4 d=2.00355 t=3579
hai zai 	还在	c=1 d=0.565525 t=3579
hai zi xiao 	孩子小	c=1 d=0.491644 t=3579
han shu 	函数	c=2 d=1.72858 t=3579
hang 	行	c=2 d=1.80086 t=3579
hao 	好	c=10 d=3.39364 t=3579
hao chang 	好长	c=1 d=0.71177 t=3579
hao duo 	好多	c=1 d=0.980199 t=3579
hao fan 	好烦	c=2 d=0.979576 t=3579
hao hao 	好好	c=1 d=0.995012 t=3579
hao jing cai 	好精彩	c=1 d=0.941765 t=3579
hao ka 	好卡	c=1 d=0.802519 t=3579
hao kan 	好看	c=1 d=0.209088 t=3579
hao rao 	好绕	c=1 d=0.980199 t=3579
hao shi jian 	耗时间	c=1 d=1 t=3572
hao xiang 	好像	c=10 d=2.25247 t=3579
hao yong 	好用	c=1 d=0.38868 t=3579
he 	和	c=26 d=5.19582 t=3579
hei 	嘿	c=1 d=0.529935 t=3579
hei hei 	嘿嘿	c=1 d=0.527292 t=3579
hei se 	黑色	c=1 d=0.99005 t=3579
hen 	很	c=4 d=1.8478 t=3579
hen bu cuo 	很不错	c=1 d=0.597501 t=3579
hen chou 	很丑	c=1 d=0.755784 t=3579
hen da duo 	很大多	c=1 d=0.336216 t=3579
hen dong 	很懂	c=1 d=0.726149 t=3579
hen hao 	很好	c=1 d=0.394554 t=3579
hen hao kan 	很好看	c=1 d=0.99005 t=3579
hen kuai 	很快	c=1 d=0.40657 t=3579
hen qi guai 	很奇怪	c=1 d=0.467666 t=3579
hou 	后	c=1 d=0.562705 t=3579
hou mian 	后面	c=3 d=0.786628 t=3579
hou tai 	后台	c=1 d=0.759572 t=3579
hou you 	后由	c=0 d=0.0913931 t=3579
hu yu 	呼吁	c=0 d=0.099005 t=3579
hu yu shi gu 	呼吁事故	c=1 d=0.995012 t=3579
hua 	画	c=1 d=0.878095 t=3579
hua 	话	c=2 d=1.8149 t=3579
hua ting hu 	花亭湖	c=2 d=1.65052 t=3579
hua xi 	花息	c=0 d=0.099005 t=3579
hua xi bi 	花息币	c=1 d=0.995012 t=3579
huai 	坏	c=1 d=0.484325 t=3579
huan 	换	c=2 d=1.55588 t=3579
huan cheng 	换成	c=4 d=2.99376 t=3579
huan le 	换了	c=1 d=0.810584 t=3579
huan suan 	换算	c=1 d=0.238115 t=3579
huan xing 	唤醒	c=1 d=0.571209 t=3579
hui 	会	c=9 d=3.72097 t=3579
hui 	回	c=1 d=0.718924 t=3579
hui bu hui 	会不会	c=2 d=1.95506 t=3579
hui dao 	回到	c=1 d=0.904837 t=3579
hui gun 	回滚	c=4 d=1.58088 t=3579
hui jia 	回家	c=1 d=0.895834 t=3579
hui lai 	回来	c=2 d=0.95332 t=3579
hui qu 	回去	c=2 d=1.74185 t=3579
hui you 	会有	c=1 d=0.985112 t=3579
huo 	火	c=1 d=0.386741 t=3579
huo he 	火鹤	c=1 d=0.882497 t=3579
huo zhe 	或者	c=2 d=1.24572 t=3579
ji 	几	c=1 d=0.755784 t=3579
ji ben 	基本	c=2 d=1.75698 t=3579
ji chu 	基础	c=1 d=0.843665 t=3579
ji de 	记得	c=1 d=0.759572 t=3579
ji ge 	几个	c=1 d=1 t=3557
ji li gu lu 	叽里咕噜	c=1 d=0.937067 t=3579
ji qi 	及其	c=1 d=0.603506 t=3579
ji shi 	及时	c=2 d=1.6997 t=3579
ji xie ge ming 	机械革命	c=1 d=0.198891 t=3579
ji xu 	继续	c=1 d=0.677057 t=3579
jia 	加	c=3 d=1.99126 t=3579
jia 	家	c=1 d=0.802519 t=3579
jia she 	假设	c=1 d=0.66365 t=3579
jia yi 	加一	c=1 d=1 t=3509
jian 	键	c=3 d=1.46357 t=3579
jian ce 	检测	c=5 d=3.55375 t=3579
jian guo 	见过	c=1 d=0.913931 t=3579
jian pan 	键盘	c=2 d=1.44407 t=3579
jian pan ni 	键盘你	c=1 d=0.918512 t=3579
jian rong 	兼容	c=1 d=0.748264 t=3579
jian yi 	建议	c=1 d=0.453845 t=3579
jiang 	将	c=1 d=0.831104 t=3579
jiao 	叫	c=1 d=0.746438 t=3579
jiao ben 	脚本	c=3 d=2.11472 t=3579
jiao bu neng 	叫不能	c=1 d=0.763379 t=3579
jiao cheng 	教程	c=3 d=1.00996 t=3579
jiao qu 	郊区	c=1 d=0.588605 t=3579
jiao wo 	叫我	c=1 d=0.771052 t=3579
jiao zuo 	叫作	c=2 d=1.23976 t=3579
jie 	姐	c=1 d=0.913931 t=3579
jie bao 	解包	c=2 d=1.62962 t=3579
jie dao 	街道	c=1 d=0.826959 t=3579
